0 293.15
0.0010101 290.36
0.0020202 287.58
0.0030303 284.81
0.0040404 282.06
0.0050505 279.34
0.0060606 276.65
0.0070707 273.99
0.0080808 272.95
0.0090909 272.66
0.010101 272.36
0.011111 272.07
0.012121 271.78
0.013131 271.49
0.014141 271.2
0.015152 270.91
0.016162 270.62
0.017172 270.34
0.018182 270.05
0.019192 269.77
0.020202 269.49
0.021212 269.21
0.022222 268.93
0.023232 268.65
0.024242 268.38
0.025253 268.11
0.026263 267.84
0.027273 267.57
0.028283 267.3
0.029293 267.04
0.030303 266.77
0.031313 266.51
0.032323 266.25
0.033333 266
0.034343 265.74
0.035354 265.49
0.036364 265.24
0.037374 265
0.038384 264.76
0.039394 264.51
0.040404 264.28
0.041414 264.04
0.042424 263.81
0.043434 263.58
0.044444 263.35
0.045455 263.12
0.046465 262.9
0.047475 262.68
0.048485 262.47
0.049495 262.25
0.050505 262.04
0.051515 261.84
0.052525 261.63
0.053535 261.43
0.054545 261.23
0.055556 261.04
0.056566 260.85
0.057576 260.66
0.058586 260.47
0.059596 260.29
0.060606 260.11
0.061616 259.93
0.062626 259.75
0.063636 259.58
0.064646 259.42
0.065657 259.25
0.066667 259.09
0.067677 258.93
0.068687 258.77
0.069697 258.62
0.070707 258.47
0.071717 258.32
0.072727 258.18
0.073737 258.04
0.074747 257.9
0.075758 257.76
0.076768 257.63
0.077778 257.5
0.078788 257.37
0.079798 257.25
0.080808 257.12
0.081818 257
0.082828 256.89
0.083838 256.77
0.084848 256.66
0.085859 256.55
0.086869 256.45
0.087879 256.35
0.088889 256.24
0.089899 256.15
0.090909 256.05
0.091919 255.96
0.092929 255.86
0.093939 255.78
0.094949 255.69
0.09596 255.6
0.09697 255.52
0.09798 255.44
0.09899 255.36
0.1 255.29
